LGA_CODE_2011,LGA_NAME_2011,LGA_CODE_2016,LGA_NAME_2016,RATIO,PERCENTAGE
22830,Greater Shepparton (C),22830,Greater Shepparton (C),1,100
22910,Hepburn (S),22910,Hepburn (S),1,100
22980,Hindmarsh (S),22980,Hindmarsh (S),1,100
23110,Hobsons Bay (C),23110,Hobsons Bay (C),1,100
23190,Horsham (RC),23190,Horsham (RC),1,100
23270,Hume (C),23270,Hume (C),1,100
23350,Indigo (S),23350,Indigo (S),1,100
23430,Kingston (C),23430,Kingston (C) (Vic.),1,100
23670,Knox (C),23670,Knox (C),1,100
23810,Latrobe (C),23810,Latrobe (C) (Vic.),1,100
23940,Loddon (S),23940,Loddon (S),1,100
24130,Macedon Ranges (S),24130,Macedon Ranges (S),1,100
24210,Manningham (C),24210,Manningham (C),1,100
24250,Mansfield (S),24250,Mansfield (S),1,100
24330,Maribyrnong (C),24330,Maribyrnong (C),1,100
24410,Maroondah (C),24410,Maroondah (C),1,100
24600,Melbourne (C),24600,Melbourne (C),1,100
24650,Melton (S),24650,Melton (C),1,100
24780,Mildura (RC),24780,Mildura (RC),1,100
24850,Mitchell (S),24850,Mitchell (S),0.9999438,99.9943775
24900,Moira (S),24900,Moira (S),1,100
24970,Monash (C),24970,Monash (C),1,100
25060,Moonee Valley (C),25060,Moonee Valley (C),1,100
25150,Moorabool (S),25150,Moorabool (S),1,100
25250,Moreland (C),25250,Moreland (C),1,100
25340,Mornington Peninsula (S),25340,Mornington Peninsula (S),1,100
25430,Mount Alexander (S),25430,Mount Alexander (S),1,100
25490,Moyne (S),25490,Moyne (S),1,100
25620,Murrindindi (S),25620,Murrindindi (S),1,100
25710,Nillumbik (S),25710,Nillumbik (S),1,100
25810,Northern Grampians (S),25810,Northern Grampians (S),1,100
25900,Port Phillip (C),25900,Port Phillip (C),1,100
25990,Pyrenees (S),25990,Pyrenees (S),1,100
26080,Queenscliffe (B),26080,Queenscliffe (B),0.9999997,99.9999667
26170,South Gippsland (S),26170,South Gippsland (S),1,100
26260,Southern Grampians (S),26260,Southern Grampians (S),1,100
26350,Stonnington (C),26350,Stonnington (C),1,100
26430,Strathbogie (S),26430,Strathbogie (S),1,100
26490,Surf Coast (S),26490,Surf Coast (S),1,100
26610,Swan Hill (RC),26610,Swan Hill (RC),1,100
26670,Towong (S),26670,Towong (S),1,100
26700,Wangaratta (RC),26700,Wangaratta (RC),1,100
26730,Warrnambool (C),26730,Warrnambool (C),1,100
26810,Wellington (S),26810,Wellington (S),0.9999998,99.9999831
26890,West Wimmera (S),26890,West Wimmera (S),1,100
26980,Whitehorse (C),26980,Whitehorse (C),1,100
27070,Whittlesea (C),27070,Whittlesea (C),1,100
27170,Wodonga (RC),27170,Wodonga (C),1,100
27260,Wyndham (C),27260,Wyndham (C),1,100
27350,Yarra (C),27350,Yarra (C),1,100
27450,Yarra Ranges (S),27450,Yarra Ranges (S),1,100
27630,Yarriambiack (S),27630,Yarriambiack (S),1,100
29399,Unincorporated Vic,29399,Unincorporated Vic,1,100
29499,No usual address (Vic.),29499,No usual address (Vic.),1,100
30250,Aurukun (S),30250,Aurukun (S),1,100
30300,Balonne (S),30300,Balonne (S),0.9994034,99.9403441
30300,Balonne (S),33610,Goondiwindi (R),0.0005966,0.0596559
30370,Banana (S),30370,Banana (S),0.9999862,99.9986162
30410,Barcaldine (R),30410,Barcaldine (R),1,100
30450,Barcoo (S),30450,Barcoo (S),1,100
30760,Blackall Tambo (R),30760,Blackall-Tambo (R),1,100
30900,Boulia (S),30900,Boulia (S),1,100
31000,Brisbane (C),31000,Brisbane (C),1,99.9999999
31750,Bulloo (S),31750,Bulloo (S),1,100
31820,Bundaberg (R),31820,Bundaberg (R),0.9999889,99.9988854
31900,Burdekin (S),31900,Burdekin (S),1,100
31950,Burke (S),31950,Burke (S),1,100
32070,Cairns (R),32080,Cairns (R),0.9306581,93.0658143
32070,Cairns (R),32810,Douglas (S),0.0693419,6.9341857
32250,Carpentaria (S),32250,Carpentaria (S),1,100
32260,Cassowary Coast (R),32260,Cassowary Coast (R),1,100
32270,Central Highlands (R),32270,Central Highlands (R) (Qld),1,100
32310,Charters Towers (R),32310,Charters Towers (R),1,100
32330,Cherbourg (S),32330,Cherbourg (S),1,100
32450,Cloncurry (S),32450,Cloncurry (S),1,100
32500,Cook (S),32500,Cook (S),0.9992726,99.9272625
32500,Cook (S),33830,Hope Vale (S),0.0007226,0.0722558
32600,Croydon (S),32600,Croydon (S),1,100
32750,Diamantina (S),32750,Diamantina (S),1,100
32770,Doomadgee (S),32770,Doomadgee (S),1,100
33100,Etheridge (S),33100,Etheridge (S),1,100
33200,Flinders (S),33200,Flinders (S) (Qld),1,100
33220,Fraser Coast (R),33220,Fraser Coast (R),0.999979,99.9979015
33360,Gladstone (R),33360,Gladstone (R),1,99.9999983
33430,Gold Coast (C),33430,Gold Coast (C),0.9999939,99.9993931
33610,Goondiwindi (R),33610,Goondiwindi (R),1,100
33620,Gympie (R),33620,Gympie (R),1,100
33800,Hinchinbrook (S),33800,Hinchinbrook (S),1,100
33830,Hope Vale (S),33830,Hope Vale (S),1,100
33960,Ipswich (C),33960,Ipswich (C),0.9999805,99.9980528
33980,Isaac (R),32270,Central Highlands (R) (Qld),0.0001499,0.0149852
33980,Isaac (R),33980,Isaac (R),0.9998501,99.9850148
34420,Kowanyama (S),34420,Kowanyama (S),1,100
34570,Lockhart River (S),34570,Lockhart River (S),1,100
34580,Lockyer Valley (R),34580,Lockyer Valley (R),1,100
34590,Logan (C),34590,Logan (C),0.9999906,99.9990641
34710,Longreach (R),34710,Longreach (R),1,100
34770,Mackay (R),34770,Mackay (R),1,100
34800,McKinlay (S),34800,McKinlay (S),1,100
34830,Mapoon (S),34830,Mapoon (S),1,100
34860,Maranoa (R),34860,Maranoa (R),1,100
35010,Moreton Bay (R),35010,Moreton Bay (R),1,99.9999995
35250,Mornington (S),35250,Mornington (S),1,100
35300,Mount Isa (C),35300,Mount Isa (C),1,100
35600,Murweh (S),35600,Murweh (S),1,100
35670,Napranum (S),35670,Napranum (S),1,100
35760,North Burnett (R),35760,North Burnett (R),1,100
35780,Northern Peninsula Area (R),35780,Northern Peninsula Area (R),0.9999991,99.9999129
35790,Palm Island (S),35790,Palm Island (S),1,100
35800,Paroo (S),35800,Paroo (S),1,100
36070,Pormpuraaw (S),36070,Pormpuraaw (S),0.999997,99.9996983
36150,Quilpie (S),36150,Quilpie (S),1,100
36250,Redland (C),36250,Redland (C),1,100
36300,Richmond (S),36300,Richmond (S),1,100
36360,Rockhampton (R),34530,Livingstone (S),0.2978067,29.7806727
36360,Rockhampton (R),36370,Rockhampton (R),0.7021933,70.2193273
36510,Scenic Rim (R),36510,Scenic Rim (R),1,100
36580,Somerset (R),36580,Somerset (R),1,100
36630,South Burnett (R),36630,South Burnett (R),1,100
36660,Southern Downs (R),36660,Southern Downs (R),1,100
36710,Sunshine Coast (R),35740,Noosa (S),0.1595181,15.9518068
36710,Sunshine Coast (R),36720,Sunshine Coast (R),0.8404819,84.0481919
36810,Tablelands (R),34880,Mareeba (S),0.4578111,45.781114
36810,Tablelands (R),36820,Tablelands (R),0.5420947,54.20947
36910,Toowoomba (R),36910,Toowoomba (R),1,100
36950,Torres (S),36950,Torres (S),0.9999951,99.9995086
36960,Torres Strait Island (R),36960,Torres Strait Island (R),1,100
37010,Townsville (C),37010,Townsville (C),1,100
37300,Weipa (T),37300,Weipa (T),1,100
37310,Western Downs (R),37310,Western Downs (R),1,100
37340,Whitsunday (R),37340,Whitsunday (R),1,100
37400,Winton (S),37400,Winton (S),1,100
37550,Woorabinda (S),37550,Woorabinda (S),1,100
37570,Wujal Wujal (S),37570,Wujal Wujal (S),1,100
37600,Yarrabah (S),37600,Yarrabah (S),1,100
39499,No usual address (Qld),39499,No usual address (Qld),1,100
40070,Adelaide (C),40070,Adelaide (C),1,100
40120,Adelaide Hills (DC),40120,Adelaide Hills (DC),1,100
40220,Alexandrina (DC),40220,Alexandrina (DC),1,100
40250,Anangu Pitjantjatjara (AC),40250,Anangu Pitjantjatjara (AC),1,100
40310,Barossa (DC),40310,Barossa (DC),1,100
40430,Barunga West (DC),40430,Barunga West (DC),1,100
